HOUSEID,VEHID,VEHYEAR,VEHAGE,MAKE,MODEL,FUELTYPE,VEHTYPE,WHOMAIN,OD_READ,HFUEL,VEHOWNED,VEHOWNMO,ANNMILES,HYBRID,PERSONID,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTHHFIN,BESTMILE,BEST_FLG,BEST_EDT,BEST_OUT,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN,GSYRGAL,GSTOTCST,FEGEMPG,FEGEMPGA,GSCOST,FEGEMPGF
30013951,02,2004,13,49,49442,01,02,02,189570,-1,01,-1,2500,02,02,02,01,10,2,08,2,TX,48,2,1,201611,04,02,04,02,01,04,01,07,03,72,01,02,12420,01,325.182709396449,6426.36182687744,01,-1,-1,S,20,3000,1500,1500,05,7000,3000,338.229569835655,719.132437065574,19,-9,2.12616666666667,01
30014092,01,2008,9,49,49032,01,01,01,99450,-1,01,-1,6000,02,01,03,01,2,2,05,2,TX,48,2,1,201608,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,99.9922724525787,8498.23749412778,01,-1,-1,U,60,7000,3000,3000,50,7000,3000,283.274583137593,602.288976181045,30,-9,2.12616666666667,01
30014092,02,1997,20,49,49481,01,04,02,322501,-1,01,-1,7000,02,02,03,01,2,2,05,2,TX,48,2,1,201608,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,99.9922724525787,8358.40597527161,01,-1,-1,U,60,7000,3000,3000,50,7000,3000,491.67093972186,1045.37436300529,17,-9,2.12616666666667,01
30014717,01,2013,4,20,20482,01,05,01,32268,-1,02,04,-9,02,01,04,01,2,2,08,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,166.599165895666,-9,08,-1,-1,R,05,300,50,25,05,300,300,-9,-9,17,-9,-9,01
30014717,02,2012,5,20,20481,01,04,02,-88,-1,01,-1,-9,02,02,04,01,2,2,08,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,166.599165895666,10017.0178811862,02,-1,-1,R,05,300,50,25,05,300,300,626.063617574139,1331.11559489888,16,-9,2.12616666666667,01
30014884,01,2015,2,59,59403,01,03,02,14944,-1,01,-1,14944,02,02,01,01,2,2,11,2,TX,48,2,0,201607,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,188.7720885605,8354.55752957231,01,-1,-1,S,20,3000,1500,1500,0,1500,750,278.485250985744,592.106057804189,30,-9,2.12616666666667,01
30014884,02,2011,6,37,37471,01,04,01,38601,-1,01,-1,6000,02,01,01,01,2,2,11,2,TX,48,2,0,201607,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,188.7720885605,3591.96017049564,01,-1,-1,S,20,3000,1500,1500,0,1500,750,211.291774735038,449.241528382479,17,-9,2.12616666666667,01
30014971,01,2012,5,55,55041,01,01,02,29950,-1,01,-1,6000,02,02,01,01,2,2,09,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,363.399957443788,11223.7034722555,01,-1,-1,S,05,1500,750,1500,05,3000,1500,534.462070107405,1136.35543806003,21,-9,2.12616666666667,01
30014971,02,2009,8,49,49047,01,01,01,78709,-1,01,-1,10000,02,01,01,01,2,2,09,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,363.399957443788,10976.5894895757,01,-1,-1,S,05,1500,750,1500,05,3000,1500,439.06357958303,933.522347456785,25,-9,2.12616666666667,01
30014978,01,2015,2,37,37421,02,03,02,18810,-1,-9,-1,-9,02,02,02,01,2,3,11,2,TX,48,2,2,201605,07,02,04,02,01,04,01,07,03,72,03,02,12420,02,722.194243121093,12441.6160962292,04,-1,-1,U,90,30000,17000,5000,80,30000,17000,497.664643849167,1140.97914013152,25,-9,2.29266666666667,02
30014978,02,2014,3,37,37032,02,01,02,28923,-1,01,-1,-9,02,02,02,01,2,3,11,2,TX,48,2,2,201605,07,02,04,02,01,04,01,07,03,72,03,02,12420,02,722.194243121093,20716.5796976993,01,-1,-1,U,90,30000,17000,5000,80,30000,17000,647.393115553103,1484.25661625808,32,-9,2.29266666666667,02
30014978,03,2010,7,37,37031,02,01,01,35462,-1,01,-1,-9,02,01,02,01,2,3,11,2,TX,48,2,2,201605,07,02,04,02,01,04,01,07,03,72,03,02,12420,02,722.194243121093,10413.5725562115,01,-1,-1,U,90,30000,17000,5000,80,30000,17000,325.424142381608,746.089083766901,32,-9,2.29266666666667,02
30015710,01,2009,8,49,49403,01,03,01,108765,-1,01,-1,8000,02,01,02,01,2,2,07,2,TX,48,2,0,201609,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,66.6012198331495,6664.92018405679,01,-1,-1,T,05,1500,300,750,0,1500,750,317.377151621752,674.796720539781,21,-9,2.12616666666667,01
30015710,02,2006,11,13,13001,01,01,02,143279,-1,01,-1,9000,02,02,02,01,2,2,07,2,TX,48,2,0,201609,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,66.6012198331495,16990.2623507305,01,-1,-1,T,05,1500,300,750,0,1500,750,943.903463929471,2006.89608155804,18,-9,2.12616666666667,01
30015865,01,2012,5,37,37441,01,02,02,99588,-1,01,-1,24000,02,02,01,01,3,2,11,2,TX,48,2,1,201610,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,390.877234689474,20023.5504751443,01,-1,-1,S,0,3000,750,1500,0,1500,750,910.161385233832,1935.15479857133,22,-9,2.12616666666667,01
30015865,02,2011,6,34,34035,01,01,01,54550,-1,01,-1,12000,02,01,01,01,3,2,11,2,TX,48,2,1,201610,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,390.877234689474,9612.96067947297,01,-1,-1,S,0,3000,750,1500,0,1500,750,505.94529891963,1075.72402971962,19,-9,2.12616666666667,01
30017753,01,2009,8,37,37031,01,01,01,75000,-1,01,-1,12100,02,01,03,01,2,2,09,2,TX,48,2,2,201610,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,215.30997568706,10972.2962661858,01,-1,-1,S,40,3000,1500,1500,50,7000,3000,406.381343192066,864.034465850198,27,-9,2.12616666666667,01
30017753,02,2006,11,37,37402,01,03,02,65000,-1,01,-1,11200,02,02,03,01,2,2,09,2,TX,48,2,2,201610,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,215.30997568706,19825.1420943229,01,-1,-1,S,40,3000,1500,1500,50,7000,3000,901.142822469222,1915.97983103998,22,-9,2.12616666666667,01
30018575,01,2011,6,49,49046,03,01,01,44500,04,02,03,2000,01,01,03,01,1,1,05,1,TX,48,1,1,201608,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,156.918618211665,774.222220840296,01,-1,-1,U,60,7000,7000,5000,60,7000,7000,16.1296296008395,34.2942808029849,48,-9,2.12616666666667,01
30020703,01,2006,11,63,63034,01,01,01,79500,-1,01,-1,-9,02,01,05,01,1,1,05,1,TX,48,1,0,201610,09,02,04,02,01,04,01,07,03,72,97,01,12420,02,208.322684984142,8381.09271051206,01,-1,-1,U,60,7000,3000,3000,50,7000,3000,364.395335239655,774.765215275379,23,-9,2.12616666666667,01
30020739,01,2013,4,55,55035,01,01,01,33078,-1,01,-1,11000,02,01,04,02,2,1,05,1,TX,48,1,1,201607,03,02,04,02,01,04,01,07,03,72,01,02,12420,02,487.282174295368,22206.1304854366,01,-1,-1,S,20,3000,1500,3000,20,3000,1500,716.326789852795,1523.03014302535,31,-9,2.12616666666667,01
30021232,01,2016,1,35,35039,01,01,01,4623,-1,02,03,12000,02,01,06,01,2,3,07,2,TX,48,1,2,201610,07,02,04,02,01,04,01,07,03,72,01,02,12420,02,234.942152503373,9839.37114694832,01,-1,-1,S,05,3000,1500,1500,05,3000,750,393.574845877933,836.805718144131,25,-9,2.12616666666667,01
