HOUSEID,TRAVDAY,SAMPSTRAT,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,PC,SPHONE,TAB,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,HHSTATE,HHSTFIPS,NUMADLT,YOUNGCHILD,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,SCRESP,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,RESP_CNT,WEBUSE17,SMPLSRCE,WTHHFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30546852,02,02,02,1,1,05,01,01,01,05,05,01,05,05,05,05,01,02,04,04,04,02,1,4,TX,48,1,0,1,201611,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,204.260606919025,S,40,750,300,350,50,1500,300
30547286,01,02,02,4,2,03,03,01,02,01,03,01,04,03,05,04,03,02,02,02,02,01,1,6,TX,48,2,0,1,201606,01,06,02,04,02,01,04,01,01,07,03,72,02,02,12420,4,01,02,1963.52023110871,S,50,7000,3000,3000,05,3000,1500
30548145,06,02,01,1,1,08,01,01,05,05,05,02,05,05,05,05,03,04,03,03,03,02,1,0,TX,48,1,0,0,201607,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,133.061842914231,U,50,7000,3000,3000,50,7000,3000
30548973,04,02,01,3,3,11,01,02,01,04,05,01,05,05,05,05,02,02,05,05,05,01,2,4,TX,48,3,0,0,201608,02,10,02,04,02,04,06,02,01,07,03,72,01,02,12420,3,01,02,167.292624835307,T,0,1500,750,350,05,1500,750
30549040,06,02,01,3,2,07,01,01,01,04,05,01,05,05,05,05,02,03,03,05,05,01,2,16,TX,48,2,0,2,201611,01,06,02,04,02,01,04,01,01,07,03,72,01,01,12420,3,01,02,210.611296487872,S,50,7000,3000,3000,60,7000,3000
30549247,05,02,01,2,2,07,01,01,01,02,05,01,05,05,05,05,04,04,03,05,05,01,2,8,TX,48,2,0,1,201607,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,200.72604711789,C,40,7000,3000,3000,20,7000,3000
30549259,03,02,01,2,2,10,01,01,01,03,-9,01,05,05,05,05,04,04,04,04,04,01,2,10,TX,48,2,0,2,201605,01,02,02,04,02,01,04,01,01,07,03,72,03,02,12420,2,01,02,616.95529600409,S,40,1500,750,750,40,1500,300
30549517,02,02,02,2,2,02,05,01,05,03,04,01,05,04,05,05,04,01,05,05,05,01,2,0,TX,48,2,0,2,201610,02,02,02,04,02,01,04,01,01,07,03,72,02,02,12420,2,01,01,569.860192309738,U,90,3000,1500,1500,90,7000,7000
30550262,07,02,01,2,3,06,02,01,04,04,05,01,04,05,04,05,02,02,05,05,05,01,2,10,TX,48,2,0,1,201610,01,10,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,308.437421126884,R,20,50,50,25,20,50,50
30551388,03,02,02,2,1,02,01,01,01,05,05,01,04,04,05,05,01,02,05,05,03,01,1,22,TX,48,1,0,1,201608,01,05,02,04,02,01,04,01,01,07,03,72,02,02,12420,2,01,02,404.988316170109,U,20,7000,3000,3000,40,7000,3000
